2026-03-28 12:34:04,765 - Reading configuration from: /home/sdc_joran/Journal/deeprl_signal_control/config/config_ppo_real.ini
2026-03-28 12:34:04,765 - Using frozen controller run dir: /home/sdc_joran/Journal/deeprl_signal_control/runs/ppo_real
2026-03-28 12:34:04,765 - Adversary output dir: /home/sdc_joran/Journal/deeprl_signal_control/output_adversary_monaco/ppo_real_fresh
2026-03-28 12:34:04,766 - Initializing Adversarial Environment...
2026-03-28 12:34:25,025 - Initializing GCN Adversary...
2026-03-28 12:34:25,164 - Start Training...
2026-03-28 12:34:27,196 - Training Finished.
2026-03-28 12:36:54,124 - Reading configuration from: /home/sdc_joran/Journal/deeprl_signal_control/config/config_ppo_real.ini
2026-03-28 12:36:54,124 - Using frozen controller run dir: /home/sdc_joran/Journal/deeprl_signal_control/runs/ppo_real
2026-03-28 12:36:54,124 - Adversary output dir: /home/sdc_joran/Journal/deeprl_signal_control/output_adversary_monaco/ppo_real_fresh
2026-03-28 12:36:54,125 - Initializing Adversarial Environment...
2026-03-28 12:37:14,320 - Initializing GCN Adversary...
2026-03-28 12:37:14,459 - Start Training...
2026-03-28 13:15:18,421 - Episode 94: Steps=11, Reward=302728.00
2026-03-28 13:15:41,013 - Episode 95: Steps=11, Reward=58013.00
2026-03-28 13:16:03,865 - Episode 96: Steps=11, Reward=75850.00
2026-03-28 13:16:28,902 - Episode 97: Steps=11, Reward=193748.00
2026-03-28 13:16:51,772 - Episode 98: Steps=11, Reward=68079.00
2026-03-28 13:17:14,452 - Episode 99: Steps=11, Reward=92607.00
2026-03-28 13:17:14,462 - Saved checkpoint at episode=99 to /home/sdc_joran/Journal/deeprl_signal_control/output_adversary_monaco/ppo_real_fresh/model
2026-03-28 13:17:36,890 - Episode 100: Steps=11, Reward=60374.00
2026-03-28 13:18:03,656 - Episode 101: Steps=11, Reward=270805.00
2026-03-28 13:18:26,452 - Episode 102: Steps=11, Reward=65569.00
2026-03-28 13:18:50,449 - Episode 103: Steps=11, Reward=160067.00
2026-03-28 13:19:16,372 - Episode 104: Steps=11, Reward=245246.00
2026-03-28 13:19:39,391 - Episode 105: Steps=11, Reward=70454.00
2026-03-28 13:20:03,243 - Episode 106: Steps=11, Reward=151938.00
2026-03-28 13:20:30,066 - Episode 107: Steps=11, Reward=266654.00
2026-03-28 13:20:56,014 - Episode 108: Steps=11, Reward=256071.00
2026-03-28 13:21:18,740 - Episode 109: Steps=11, Reward=67620.00
2026-03-28 13:21:18,749 - Saved checkpoint at episode=109 to /home/sdc_joran/Journal/deeprl_signal_control/output_adversary_monaco/ppo_real_fresh/model
2026-03-28 13:21:41,254 - Episode 110: Steps=11, Reward=66794.00
2026-03-28 13:22:03,834 - Episode 111: Steps=11, Reward=62381.00
2026-03-28 13:22:26,475 - Episode 112: Steps=11, Reward=77646.00
2026-03-28 13:22:51,866 - Episode 113: Steps=11, Reward=203657.00
2026-03-28 13:23:14,431 - Episode 114: Steps=11, Reward=72504.00
2026-03-28 13:23:39,568 - Episode 115: Steps=11, Reward=189536.00
2026-03-28 13:24:04,204 - Episode 116: Steps=11, Reward=170230.00
2026-03-28 13:24:26,986 - Episode 117: Steps=11, Reward=58442.00
2026-03-28 13:24:50,446 - Episode 118: Steps=11, Reward=80465.00
2026-03-28 13:25:12,445 - Episode 119: Steps=11, Reward=65058.00
2026-03-28 13:25:12,456 - Saved checkpoint at episode=119 to /home/sdc_joran/Journal/deeprl_signal_control/output_adversary_monaco/ppo_real_fresh/model
2026-03-28 13:25:35,515 - Episode 120: Steps=11, Reward=98203.00
2026-03-28 13:25:58,228 - Episode 121: Steps=11, Reward=104624.00
2026-03-28 13:26:21,194 - Episode 122: Steps=11, Reward=86963.00
2026-03-28 13:26:47,250 - Episode 123: Steps=11, Reward=235463.00
2026-03-28 13:27:09,067 - Episode 124: Steps=11, Reward=62191.00
2026-03-28 13:27:32,545 - Episode 125: Steps=11, Reward=149117.00
2026-03-28 13:27:58,717 - Episode 126: Steps=11, Reward=277220.00
2026-03-28 13:28:20,963 - Episode 127: Steps=11, Reward=60891.00
2026-03-28 13:28:43,237 - Episode 128: Steps=11, Reward=67259.00
2026-03-28 13:29:07,107 - Episode 129: Steps=11, Reward=162954.00
2026-03-28 13:29:07,120 - Saved checkpoint at episode=129 to /home/sdc_joran/Journal/deeprl_signal_control/output_adversary_monaco/ppo_real_fresh/model
2026-03-28 13:29:30,368 - Episode 130: Steps=11, Reward=134893.00
2026-03-28 13:29:52,761 - Episode 131: Steps=11, Reward=67510.00
2026-03-28 13:30:15,854 - Episode 132: Steps=11, Reward=107424.00
2026-03-28 13:30:38,349 - Episode 133: Steps=11, Reward=92350.00
2026-03-28 13:31:03,152 - Episode 134: Steps=11, Reward=209051.00
2026-03-28 13:31:25,674 - Episode 135: Steps=11, Reward=59781.00
2026-03-28 13:31:51,770 - Episode 136: Steps=11, Reward=266440.00
2026-03-28 13:32:13,815 - Episode 137: Steps=11, Reward=55636.00
2026-03-28 13:32:36,715 - Episode 138: Steps=11, Reward=117756.00
2026-03-28 13:32:59,635 - Episode 139: Steps=11, Reward=114729.00
2026-03-28 13:32:59,646 - Saved checkpoint at episode=139 to /home/sdc_joran/Journal/deeprl_signal_control/output_adversary_monaco/ppo_real_fresh/model
2026-03-28 13:33:25,973 - Episode 140: Steps=11, Reward=265697.00
2026-03-28 13:33:48,010 - Episode 141: Steps=11, Reward=71831.00
2026-03-28 13:34:09,901 - Episode 142: Steps=11, Reward=58200.00
2026-03-28 13:34:32,057 - Episode 143: Steps=11, Reward=62402.00
2026-03-28 13:34:56,445 - Episode 144: Steps=11, Reward=178245.00
2026-03-28 13:35:21,846 - Episode 145: Steps=11, Reward=228854.00
2026-03-28 13:35:43,958 - Episode 146: Steps=11, Reward=73564.00
2026-03-28 13:36:07,302 - Episode 147: Steps=11, Reward=129450.00
2026-03-28 13:36:30,550 - Episode 148: Steps=11, Reward=124710.00
2026-03-28 13:36:54,239 - Episode 149: Steps=11, Reward=138142.00
2026-03-28 13:36:54,246 - Saved checkpoint at episode=149 to /home/sdc_joran/Journal/deeprl_signal_control/output_adversary_monaco/ppo_real_fresh/model
2026-03-28 13:37:21,015 - Episode 150: Steps=11, Reward=292132.00
2026-03-28 13:37:43,502 - Episode 151: Steps=11, Reward=63821.00
2026-03-28 13:38:10,010 - Episode 152: Steps=11, Reward=257241.00
2026-03-28 13:38:32,290 - Episode 153: Steps=11, Reward=69879.00
2026-03-28 13:38:53,995 - Episode 154: Steps=11, Reward=63510.00
2026-03-28 13:39:17,717 - Episode 155: Steps=11, Reward=140475.00
2026-03-28 13:39:40,489 - Episode 156: Steps=11, Reward=103109.00
2026-03-28 13:40:03,927 - Episode 157: Steps=11, Reward=137111.00
2026-03-28 13:40:26,852 - Episode 158: Steps=11, Reward=105335.00
2026-03-28 13:40:52,924 - Episode 159: Steps=11, Reward=252863.00
